,Company Name,Industry,Symbol,Series,ISIN Code,m_cap
283,Rallis India Ltd.,Chemicals,RALLIS,EQ,INE613A01020,4930.8
284,Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,EQ,INE703B01027,23970.1
285,RattanIndia Enterprises Ltd.,Services,RTNINDIA,EQ,INE834M01019,10664.2
286,Raymond Ltd.,Textiles,RAYMOND,EQ,INE301A01014,11429.4
287,Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,13734.7
288,Relaxo Footwears Ltd.,Consumer Durables,RELAXO,EQ,INE131B01039,22292.5
289,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,1744281.7
290,Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019,5529.4
291,Rossari Biotech Ltd.,Chemicals,ROSSARI,EQ,INE02A801020,4396.6
292,Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017,9983.4
293,SJVN Ltd.,Power,SJVN,EQ,INE002L01015,35977.3
294,SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023,23039.1
295,SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,73840.9
296,Sanofi India Ltd.,Healthcare,SANOFI,EQ,INE058A01010,18455.5
297,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01012,9144.9
298,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,50029.7
299,Sharda Cropchem Ltd.,Chemicals,SHARDACROP,EQ,INE221J01015,3855.6
300,Sheela Foam Ltd.,Consumer Durables,SFL,EQ,INE916U01025,13205.6
301,Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP,EQ,INE498B01024,7671.2
302,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022,9972.0
303,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,76461.8
304,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,142603.0
305,Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,9621.2
306,Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,61471.3
307,Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,20879.0
308,State Bank of India,Financial Services,SBIN,EQ,INE062A01020,569434.9
309,Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029,5758.3
310,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,20100.6
311,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,28011.5
312,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,38864.1
313,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021,26145.2
314,Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034,6170.7
315,Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT,EQ,INE399C01030,5047.3
316,Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,58293.3
317,Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018,18066.5
318,Suzlon Energy Ltd.,Capital Goods,SUZLON,BE,INE040H01021,50167.8
319,Swan Energy Ltd.,Realty,SWANENERGY,EQ,INE665A01038,13284.3
320,Symphony Ltd.,Consumer Durables,SYMPHONY,EQ,INE225D01027,6096.1
321,Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,28149.1
322,Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,11798.8
323,TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG,EQ,INE690A01028,10288.6
324,TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027,8940.4
325,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,94836.9
326,Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032,14578.8
327,Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,27876.7
328,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,49470.3
329,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,93584.0
330,Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,55178.8
331,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,239095.5
332,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,166260.0
333,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,125144.3
334,Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,14540.9
335,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,23341.0
336,Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029,36511.9
337,Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,24143.3
338,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,324636.8
339,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,77243.4
340,Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,43858.7
341,Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,105579.8
342,Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,18370.9
343,Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,12980.5
344,UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,46867.4
345,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,38027.4
346,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,43993.1
347,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,289225.1
348,Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,86836.8
349,United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,45185.5
350,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,EQ,INE854D01024,78339.3
351,Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035,9404.3
352,V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027,12604.8
353,V-Mart Retail Ltd.,Consumer Services,VMART,EQ,INE665J01013,4009.0
354,Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL,EQ,INE884A01027,6692.5
355,Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,11306.7
356,Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,INE665L01035,8390.3
357,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01021,162408.4
358,Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034,31129.7
359,Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,97279.3
360,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,6453.6
361,Vinati Organics Ltd.,Chemicals,VINATIORGA,EQ,INE410B01037,17825.0
362,Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,64987.4
363,Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,31963.5
364,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,14263.5
365,Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,14018.3
366,Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,EQ,INE274F01020,12819.5
367,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,17291.4
368,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,245591.3
369,Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,108886.4
370,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,68445.2
371,Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01010,10207.2
372,eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010,12824.3
